priority,name,channel_type,audience,allowed_action,contact_or_submission_url,cost_signal,permission_basis,hirelix_fit,status
11,RecruitingDaily,recruiting media,Recruiters and talent-acquisition leaders,Submit a useful non-promotional article,https://recruitingdaily.com/content-submission-guidelines/,Editorial submission,Page explicitly accepts contributor submissions via its guidelines,High,ready_for_content_pitch
12,HR Tech Europe,HR technology conference,HR technology buyers and partners,Request exhibitor or sponsor information,https://www.hrtechnologyeurope.com/exhibit-sponsor,Paid,Page explicitly invites HR-tech exhibitors and sponsors,High,ready_for_budget_review
13,TAtech,talent-technology association,Talent-technology providers and partners,Apply for member participation,https://tatech.org/member-participation/,Membership likely,Page explicitly describes participation for talent-technology organizations,High,ready_for_membership_review
14,Celoria Recruitment Solutions,recruitment agency partnership inbox,Recruitment-services operator,Send one partnership inquiry,https://celoriarecruitment.com/contact/,Unknown,Contact page explicitly states For Partnerships and Business Inquiries and lists info@celoriarecruitment.com,High,ready_for_email_draft
15,G2,B2B software review marketplace,Software buyers,Create Hirelix product profile,https://sell.g2.com/create-a-profile,Free profile with paid options,Page explicitly invites vendors to create a product profile,Medium-high,blocked_requires_account_creation
16,Capterra,B2B software marketplace,Recruiting-software buyers,Create Hirelix vendor listing,https://www.capterra.com/vendors/,Free listing with paid options,Vendor page explicitly invites products to get listed,Medium-high,prefilled_awaiting_continue_confirmation
17,Software Advice,B2B software advisory marketplace,Software buyers assisted by advisors,Apply for a Hirelix vendor listing,https://www.softwareadvice.com/vendors/,Unknown,Vendor page explicitly invites software providers to get listed,Medium-high,ready_for_submission_review
18,TrustRadius,B2B software review marketplace,Technology buyers,Claim or create Hirelix profile,https://solutions.trustradius.com/claim-your-profile/,Free profile with paid options,Page explicitly invites vendors to claim and build product profiles,Medium-high,blocked_requires_account_creation
19,Crozdesk,B2B software directory,SMB software buyers,Apply for a Hirelix listing,https://crozdesk.com/,Free application with no credit card verified,Site explicitly invites software vendors to apply for a free listing,Medium,blocked_missing_phone_location_budget
20,SourceForge Business Software,B2B software marketplace,Business-software buyers,Create a Hirelix vendor listing,https://sourceforge.net/software/vendors/,Paid and free options unclear,Vendor page explicitly offers business software listings,Medium,ready_for_submission_review
21,GoodFirms,B2B reviews and listings,Business software buyers,List Hirelix software,https://www.goodfirms.co/get-listed,Free and paid options,Page explicitly invites companies and software products to get listed,Medium,blocked_existing_company_and_captcha_required
22,SaaSworthy,SaaS discovery marketplace,SaaS buyers,List Hirelix product,https://www.saasworthy.com/offerings,Free standard profile verified,Site explicitly offers a free Standard basic profile,Medium,prefill_possible_missing_phone_and_funding
23,Product Hunt,technology launch community,Early adopters and product makers,Launch or relaunch Hirelix,https://www.producthunt.com/posts/new,Free verified,Official launch guide explicitly explains product submission,Medium,public_absent_form_ready_awaiting_confirmation
24,BetaList,startup discovery directory,Early adopters,Submit Hirelix startup,https://betalist.com/submit,Paid only with refund if not selected,Page explicitly invites startup submissions,Medium,blocked_paid_and_account_required
25,Futurepedia,AI-tool directory,Professionals seeking AI tools,Submit Hirelix as an AI tool,https://www.futurepedia.io/submit-tool,Basic $247 sold out; Verified $497 one time,Page explicitly invites AI-tool submissions,Medium,blocked_paid_497_available
26,There's An AI For That,AI-tool directory,AI-tool seekers,Launch Hirelix AI tool,https://theresanaiforthat.com/launch/,Unverified because browser security policy blocked access,Page explicitly invites AI-tool launches,Medium,blocked_browser_security_policy_unverified
27,AlternativeTo,software discovery community,Users comparing alternatives,Suggest Hirelix as a new application,https://alternativeto.net/faq/,Free backlog; optional $5 priority review,Official FAQ explicitly describes Suggest new application and submission,Medium,blocked_requires_account_and_verified_email
28,AppSumo,software marketplace,Entrepreneurs and SMB buyers,Apply to launch Hirelix,https://sell.appsumo.com/,Revenue share,Page explicitly invites SaaS products to apply to launch,Medium,ready_for_business_model_review
29,Startup Stash,startup-tool directory,Startup founders and operators,Add Hirelix listing,https://startupstash.com/add-listing/,Typeform available; price not yet exposed,Page explicitly offers an Add a Listing process,Medium,awaiting_contact_data_confirmation
30,Uneed,technology launch directory,Early adopters and makers,Submit and launch Hirelix,https://www.uneed.best/submit-a-tool,Free launch queue verified,Page explicitly invites product submissions without requiring an account initially,Medium,submitted_waiting_line_unscheduled_url_corrected
